State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,1112725,1073068,1077338,638479,438859,2051219,116202,2261,1607,328,12199,349639,2388,412348,103364,515712,262090,244058,164576,134279,99882,66721,198890,126246,964.0,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,351913,352611,378714,222759,155955,605435,6736,4238,260,61,687,62372,554,218021,9774,227795,103002,113875,84065,49277,31104,15179,12242,9945,1002.0,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,649362,592157,653980,400537,253443,1172248,49203,1208,3271,529,13474,144248,2482,212765,72320,285085,197902,157141,84560,79924,50724,42147,118411,47903,912.0,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1090327,941709,1357210,803114,554096,1835299,141735,4119,24790,4361,18058,306859,15779,172720,272172,444892,235648,235924,204871,193082,166719,193947,278747,221052,864.0,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,294838,275627,352550,203807,148743,527462,38640,683,676,93,1573,95066,986,112714,31845,144559,90059,87733,60757,46556,31939,27126,71326,51766,935.0,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,648725,592625,810644,469199,341445,1175203,52269,4453,3127,1550,3888,198076,2871,209650,105746,315396,159703,183156,145076,119682,89589,84769,166373,122069,914.0,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,1699627,1577070,2309130,1289631,1019499,2728225,415142,18523,25696,11496,71667,593576,48691,200371,587947,788318,428413,472233,384611,362209,300076,382658,545277,480633,928.0,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,1277278,1186011,1756468,980307,776161,2159065,203652,23142,13256,4320,33728,452023,20443,272284,352477,624761,267932,352284,313910,268333,222987,235072,326960,286802,929.0,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,515023,510025,352081,214582,137499,960925,15733,38423,141,65,8871,125411,744,211080,24713,235793,98308,79781,40466,38236,28990,20240,46247,24293,990.0,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,662013,630029,790773,460583,330190,1240650,37232,3158,1167,157,5342,172416,2179,276151,72880,349031,198447,207366,161727,112242,80935,53578,74604,56180,952.0,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,525272,529633,604962,348033,256929,849518,16558,12450,436,297,1789,143803,912,279674,37258,316932,156711,170994,115632,82166,58066,35476,41648,33217,1008.0,57.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,682851,657560,834591,502898,331693,1192588,125548,1120,849,242,19029,239885,2324,302287,81832,384119,244891,217234,149219,109751,77219,52546,137166,68287,963.0,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1068417,897553,1179685,747652,432033,1875495,76159,1092,557,3234,6681,131486,1781,319298,95288,414586,288979,285682,228234,170254,115790,71005,183336,75574,840.0,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,422653,403414,508834,307889,200945,741288,67324,1508,1110,224,14165,145258,1945,174235,67962,242197,137656,127167,83189,69134,53465,42343,81157,46190,954.0,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,533480,483040,552559,332140,220419,974748,35214,418,186,37,4734,76097,653,256744,32179,288923,171707,134936,99251,70359,47903,29795,46827,23811,905.0,54.0
